systemName;region;route
usawv;WV;WV2
usawv;WV;WV3
usawv;WV;WV4
usawv;WV;WV5
usawv;WV;WV7
usawv;WV;WV8
usawv;WV;WV9
usawv;WV;WV10
usawv;WV;WV12
usawv;WV;WV14
usawv;WV;WV15
usawv;WV;WV16
usawv;WV;WV17
usawv;WV;WV18
usawv;WV;WV20
usawv;WV;WV23
usawv;WV;WV24
usawv;WV;WV25
usawv;WV;WV26
usawv;WV;WV27
usawv;WV;WV28
usawv;WV;WV29
usawv;WV;WV31
usawv;WV;WV32
usawv;WV;WV34
usawv;WV;WV36
usawv;WV;WV37
usawv;WV;WV38
usawv;WV;WV39
usawv;WV;WV41
usawv;WV;WV42
usawv;WV;WV43
usawv;WV;WV44
usawv;WV;WV45
usawv;WV;WV46
usawv;WV;WV47
usawv;WV;WV49
usawv;WV;WV51
usawv;WV;WV53
usawv;WV;WV54
usawv;WV;WV55
usawv;WV;WV57
usawv;WV;WV58
usawv;WV;WV61
usawv;WV;WV62
usawv;WV;WV63
usawv;WV;WV65
usawv;WV;WV66
usawv;WV;WV67
usawv;WV;WV68
usawv;WV;WV69
usawv;WV;WV71
usawv;WV;WV72
usawv;WV;WV73
usawv;WV;WV74
usawv;WV;WV75
usawv;WV;WV76
usawv;WV;WV80
usawv;WV;WV82
usawv;WV;WV83
usawv;WV;WV84
usawv;WV;WV85
usawv;WV;WV86
usawv;WV;WV87
usawv;WV;WV88
usawv;WV;WV90
usawv;WV;WV92
usawv;WV;WV93
usawv;WV;WV94
usawv;WV;WV95
usawv;WV;WV97
usawv;WV;WV98
usawv;WV;WV99
usawv;WV;WV100
usawv;WV;WV102
usawv;WV;WV103
usawv;WV;WV104
usawv;WV;WV105
usawv;WV;WV107
usawv;WV;WV112
usawv;WV;WV114
usawv;WV;WV115
usawv;WV;WV121
usawv;WV;WV122
usawv;WV;WV123
usawv;WV;WV127
usawv;WV;WV129
usawv;WV;WV131
usawv;WV;WV150
usawv;WV;WV152
usawv;WV;WV161
usawv;WV;WV180
usawv;WV;WV193
usawv;WV;WV210
usawv;WV;WV211
usawv;WV;WV214
usawv;WV;WV218
usawv;WV;WV230
usawv;WV;WV259
usawv;WV;WV270
usawv;WV;WV273
usawv;WV;WV279
usawv;WV;WV305
usawv;WV;WV307
usawv;WV;WV310
usawv;WV;WV311
usawv;WV;WV331
usawv;WV;WV480
usawv;WV;WV501
usawv;WV;WV527
usawv;WV;WV598
usawv;WV;WV601
usawv;WV;WV612
usawv;WV;WV618
usawv;WV;WV622
usawv;WV;WV635
usawv;WV;WV705
usawv;WV;WV817
usawv;WV;WV891
usawv;WV;WV892
usawv;WV;WV901
usawv;WV;WV956
usawv;WV;WV971
