systemName;region;route
usawy;WY;WY10
usawy;WY;WY11
usawy;WY;WY12
usawy;WY;WY13
usawy;WY;WY22
usawy;WY;WY24
usawy;WY;WY28
usawy;WY;WY30
usawy;WY;WY31
usawy;WY;WY32
usawy;WY;WY33
usawy;WY;WY34
usawy;WY;WY35
usawy;WY;WY36
usawy;WY;WY37
usawy;WY;WY50
usawy;WY;WY51
usawy;WY;WY59
usawy;WY;WY70
usawy;WY;WY71
usawy;WY;WY72
usawy;WY;WY73
usawy;WY;WY76
usawy;WY;WY77
usawy;WY;WY78
usawy;WY;WY89
usawy;WY;WY90
usawy;WY;WY91
usawy;WY;WY92
usawy;WY;WY93
usawy;WY;WY94
usawy;WY;WY95
usawy;WY;WY96
usawy;WY;WY110
usawy;WY;WY111
usawy;WY;WY112
usawy;WY;WY113
usawy;WY;WY114
usawy;WY;WY116
usawy;WY;WY120
usawy;WY;WY130
usawy;WY;WY131
usawy;WY;WY132
usawy;WY;WY133
usawy;WY;WY134
usawy;WY;WY135
usawy;WY;WY136
usawy;WY;WY139
usawy;WY;WY150
usawy;WY;WY151
usawy;WY;WY152
usawy;WY;WY154
usawy;WY;WY156
usawy;WY;WY157
usawy;WY;WY158
usawy;WY;WY159
usawy;WY;WY160
usawy;WY;WY161
usawy;WY;WY170
usawy;WY;WY171
usawy;WY;WY172
usawy;WY;WY173
usawy;WY;WY174
usawy;WY;WY175
usawy;WY;WY190
usawy;WY;WY191
usawy;WY;WY192
usawy;WY;WY193
usawy;WY;WY194
usawy;WY;WY196
usawy;WY;WY210
usawy;WY;WY211
usawy;WY;WY212
usawy;WY;WY213
usawy;WY;WY214
usawy;WY;WY215
usawy;WY;WY216
usawy;WY;WY219
usawy;WY;WY220
usawy;WY;WY222
usawy;WY;WY223
usawy;WY;WY225
usawy;WY;WY230
usawy;WY;WY231
usawy;WY;WY232
usawy;WY;WY233
usawy;WY;WY235
usawy;WY;WY236
usawy;WY;WY237
usawy;WY;WY238
usawy;WY;WY239
usawy;WY;WY240
usawy;WY;WY241
usawy;WY;WY251
usawy;WY;WY252
usawy;WY;WY253
usawy;WY;WY254
usawy;WY;WY256
usawy;WY;WY257
usawy;WY;WY258
usawy;WY;WY259
usawy;WY;WY270
usawy;WY;WY271
usawy;WY;WY272
usawy;WY;WY273
usawy;WY;WY290
usawy;WY;WY291
usawy;WY;WY294
usawy;WY;WY295
usawy;WY;WY296
usawy;WY;WY310
usawy;WY;WY311
usawy;WY;WY312
usawy;WY;WY313
usawy;WY;WY314
usawy;WY;WY315
usawy;WY;WY316
usawy;WY;WY317
usawy;WY;WY318
usawy;WY;WY319
usawy;WY;WY320
usawy;WY;WY321
usawy;WY;WY322
usawy;WY;WY330
usawy;WY;WY331
usawy;WY;WY332
usawy;WY;WY334
usawy;WY;WY335
usawy;WY;WY336
usawy;WY;WY337
usawy;WY;WY338
usawy;WY;WY339
usawy;WY;WY340
usawy;WY;WY341
usawy;WY;WY342
usawy;WY;WY343
usawy;WY;WY345
usawy;WY;WY350
usawy;WY;WY351
usawy;WY;WY352
usawy;WY;WY353
usawy;WY;WY354
usawy;WY;WY370
usawy;WY;WY371
usawy;WY;WY372
usawy;WY;WY374
usawy;WY;WY375
usawy;WY;WY376
usawy;WY;WY387
usawy;WY;WY390
usawy;WY;WY391
usawy;WY;WY410
usawy;WY;WY411
usawy;WY;WY412
usawy;WY;WY413
usawy;WY;WY414
usawy;WY;WY430
usawy;WY;WY431
usawy;WY;WY432
usawy;WY;WY433
usawy;WY;WY434
usawy;WY;WY435
usawy;WY;WY436
usawy;WY;WY450
usawy;WY;WY451
usawy;WY;WY487
usawy;WY;WY530
usawy;WY;WY585
usawy;WY;WY789
